,wave_height_predicho
2026-07-03 00:00:00,1.5512315
2026-07-03 01:00:00,1.5311563
2026-07-03 02:00:00,1.5368868
2026-07-03 03:00:00,1.5325938
2026-07-03 04:00:00,1.5300453
2026-07-03 05:00:00,1.5018394
2026-07-03 06:00:00,1.5171458
2026-07-03 07:00:00,1.5237849
2026-07-03 08:00:00,1.5220369
2026-07-03 09:00:00,1.5083077
2026-07-03 10:00:00,1.5070173
2026-07-03 11:00:00,1.5071131
2026-07-03 12:00:00,1.4671957
2026-07-03 13:00:00,1.488318
2026-07-03 14:00:00,1.4884181
2026-07-03 15:00:00,1.4632679
2026-07-03 16:00:00,1.4737165
2026-07-03 17:00:00,1.4566239
2026-07-03 18:00:00,1.4612298
2026-07-03 19:00:00,1.4460223
2026-07-03 20:00:00,1.4391475
2026-07-03 21:00:00,1.4632348
2026-07-03 22:00:00,1.4513323
2026-07-03 23:00:00,1.4323722
2026-07-04 00:00:00,1.4394891
2026-07-04 01:00:00,1.4307705
2026-07-04 02:00:00,1.4273186
2026-07-04 03:00:00,1.4202788
2026-07-04 04:00:00,1.4369082
2026-07-04 05:00:00,1.431013
2026-07-04 06:00:00,1.4112022
2026-07-04 07:00:00,1.4076236
2026-07-04 08:00:00,1.4052484
2026-07-04 09:00:00,1.3957946
2026-07-04 10:00:00,1.3937918
2026-07-04 11:00:00,1.4169221
2026-07-04 12:00:00,1.3944596
2026-07-04 13:00:00,1.3880236
2026-07-04 14:00:00,1.3916068
2026-07-04 15:00:00,1.4054816
2026-07-04 16:00:00,1.3862036
2026-07-04 17:00:00,1.3984885
2026-07-04 18:00:00,1.3845385
2026-07-04 19:00:00,1.3776518
2026-07-04 20:00:00,1.3716516
2026-07-04 21:00:00,1.4149214
2026-07-04 22:00:00,1.3841494
2026-07-04 23:00:00,1.3651552
2026-07-05 00:00:00,1.3700713
2026-07-05 01:00:00,1.3506039
2026-07-05 02:00:00,1.3568698
2026-07-05 03:00:00,1.3949811
2026-07-05 04:00:00,1.3648837
2026-07-05 05:00:00,1.3777605
2026-07-05 06:00:00,1.3824689
2026-07-05 07:00:00,1.3508258
2026-07-05 08:00:00,1.3459085
2026-07-05 09:00:00,1.3491939
2026-07-05 10:00:00,1.3797524
2026-07-05 11:00:00,1.3669721
2026-07-05 12:00:00,1.3699534
2026-07-05 13:00:00,1.3771167
2026-07-05 14:00:00,1.3563845
2026-07-05 15:00:00,1.376017
2026-07-05 16:00:00,1.3664477
2026-07-05 17:00:00,1.3709378
2026-07-05 18:00:00,1.3522106
2026-07-05 19:00:00,1.3556592
2026-07-05 20:00:00,1.3518995
2026-07-05 21:00:00,1.3519443
2026-07-05 22:00:00,1.3654996
2026-07-05 23:00:00,1.3690194
